play;lexicon;spoken, total;spoken positive;spoken positive, %;spoken negative;spoken negative, %;stage, total;stage positive;stage positive, %;stage negative;stage negative, %
chekhov-noch-pered-sudom;RuSentiLex;80;19;23.75;20;25.0;52;1;1.9230769230769231;1;1.9230769230769231
chekhov-noch-pered-sudom;EmoLex;80;32;40.0;8;10.0;52;1;1.9230769230769231;3;5.769230769230769
chekhov-noch-pered-sudom;LinisCrowd;80;17;21.25;16;20.0;52;0;0.0;1;1.9230769230769231
chekhov-noch-pered-sudom;ChenSkiena;80;29;36.25;12;15.0;52;5;9.615384615384617;9;17.307692307692307
chekhov-noch-pered-sudom;ProductSentiRus;80;4;5.0;46;57.49999999999999;52;0;0.0;20;38.46153846153847
chekhov-leshii;RuSentiLex;923;179;19.39328277356446;221;23.943661971830984;498;10;2.0080321285140563;40;8.032128514056225
chekhov-leshii;EmoLex;923;334;36.1863488624052;115;12.459371614301192;498;32;6.425702811244979;22;4.417670682730924
chekhov-leshii;LinisCrowd;923;161;17.44312026002167;213;23.076923076923077;498;35;7.028112449799197;40;8.032128514056225
chekhov-leshii;ChenSkiena;923;372;40.30335861321777;128;13.867822318526542;498;52;10.441767068273093;48;9.63855421686747
chekhov-leshii;ProductSentiRus;923;38;4.117009750812568;635;68.79739978331527;498;2;0.4016064257028112;224;44.97991967871486
chekhov-predlozhenie;RuSentiLex;203;31;15.270935960591133;59;29.064039408866993;79;0;0.0;14;17.72151898734177
chekhov-predlozhenie;EmoLex;203;68;33.497536945812804;29;14.285714285714285;79;3;3.79746835443038;9;11.39240506329114
chekhov-predlozhenie;LinisCrowd;203;24;11.822660098522167;43;21.182266009852217;79;4;5.063291139240507;12;15.18987341772152
chekhov-predlozhenie;ChenSkiena;203;80;39.40886699507389;48;23.645320197044335;79;8;10.126582278481013;10;12.658227848101266
chekhov-predlozhenie;ProductSentiRus;203;5;2.4630541871921183;141;69.45812807881774;79;0;0.0;31;39.24050632911392
chekhov-chaika;RuSentiLex;661;132;19.969742813918305;136;20.574886535552196;476;13;2.73109243697479;74;15.546218487394958
chekhov-chaika;EmoLex;661;236;35.703479576399396;83;12.556732223903177;476;25;5.2521008403361344;39;8.193277310924369
chekhov-chaika;LinisCrowd;661;116;17.549167927382754;131;19.818456883509832;476;43;9.033613445378151;61;12.815126050420167
chekhov-chaika;ChenSkiena;661;269;40.69591527987897;80;12.102874432677762;476;74;15.546218487394958;31;6.512605042016808
chekhov-chaika;ProductSentiRus;661;10;1.5128593040847202;459;69.44024205748866;476;1;0.21008403361344538;241;50.63025210084034
chekhov-medved;RuSentiLex;199;37;18.592964824120603;50;25.125628140703515;102;4;3.9215686274509802;22;21.568627450980394
chekhov-medved;EmoLex;199;59;29.64824120603015;39;19.597989949748744;102;3;2.941176470588235;15;14.705882352941178
chekhov-medved;LinisCrowd;199;27;13.5678391959799;55;27.63819095477387;102;4;3.9215686274509802;21;20.588235294117645
chekhov-medved;ChenSkiena;199;71;35.678391959798994;32;16.08040201005025;102;6;5.88235294117647;17;16.666666666666664
chekhov-medved;ProductSentiRus;199;0;0.0;149;74.87437185929649;102;1;0.9803921568627451;58;56.86274509803921
chekhov-na-bolshoi-doroge;RuSentiLex;369;46;12.466124661246612;115;31.16531165311653;218;12;5.5045871559633035;22;10.091743119266056
chekhov-na-bolshoi-doroge;EmoLex;369;84;22.76422764227642;66;17.88617886178862;218;9;4.128440366972478;15;6.8807339449541285
chekhov-na-bolshoi-doroge;LinisCrowd;369;48;13.008130081300814;125;33.87533875338754;218;10;4.587155963302752;37;16.972477064220186
chekhov-na-bolshoi-doroge;ChenSkiena;369;133;36.043360433604335;61;16.53116531165312;218;23;10.550458715596331;28;12.844036697247708
chekhov-na-bolshoi-doroge;ProductSentiRus;369;9;2.4390243902439024;247;66.93766937669376;218;1;0.45871559633027525;102;46.788990825688074
chekhov-ivanov;RuSentiLex;849;178;20.965842167255595;252;29.681978798586574;549;18;3.278688524590164;80;14.571948998178508
chekhov-ivanov;EmoLex;849;328;38.6336866902238;107;12.603062426383982;549;76;13.843351548269581;39;7.103825136612022
chekhov-ivanov;LinisCrowd;849;146;17.196702002355714;234;27.56183745583039;549;38;6.9216757741347905;68;12.386156648451731
chekhov-ivanov;ChenSkiena;849;354;41.69611307420495;133;15.665488810365137;549;64;11.657559198542804;75;13.661202185792352
chekhov-ivanov;ProductSentiRus;849;18;2.1201413427561837;606;71.37809187279152;549;2;0.36429872495446264;262;47.72313296903461
chekhov-tatjana-repina;RuSentiLex;283;46;16.25441696113074;87;30.742049469964666;126;1;0.7936507936507936;10;7.936507936507936
chekhov-tatjana-repina;EmoLex;283;102;36.042402826855124;23;8.12720848056537;126;51;40.476190476190474;10;7.936507936507936
chekhov-tatjana-repina;LinisCrowd;283;51;18.021201413427562;80;28.26855123674912;126;4;3.1746031746031744;9;7.142857142857142
chekhov-tatjana-repina;ChenSkiena;283;86;30.3886925795053;45;15.901060070671377;126;10;7.936507936507936;8;6.349206349206349
chekhov-tatjana-repina;ProductSentiRus;283;1;0.35335689045936397;147;51.9434628975265;126;0;0.0;68;53.96825396825397
chekhov-djadja-vanja;RuSentiLex;581;106;18.244406196213426;136;23.407917383820998;416;10;2.403846153846154;56;13.461538461538462
chekhov-djadja-vanja;EmoLex;581;200;34.42340791738382;89;15.3184165232358;416;40;9.615384615384617;41;9.85576923076923
chekhov-djadja-vanja;LinisCrowd;581;111;19.104991394148023;123;21.17039586919105;416;31;7.451923076923077;38;9.134615384615383
chekhov-djadja-vanja;ChenSkiena;581;241;41.480206540447504;75;12.908777969018933;416;55;13.221153846153847;46;11.057692307692307
chekhov-djadja-vanja;ProductSentiRus;581;20;3.4423407917383817;418;71.9449225473322;416;2;0.4807692307692308;216;51.92307692307693
chekhov-vishnevyi-sad;RuSentiLex;864;163;18.86574074074074;147;17.01388888888889;575;38;6.608695652173912;94;16.34782608695652
chekhov-vishnevyi-sad;EmoLex;864;278;32.175925925925924;79;9.143518518518519;575;82;14.26086956521739;38;6.608695652173912
chekhov-vishnevyi-sad;LinisCrowd;864;157;18.171296296296298;142;16.435185185185187;575;47;8.17391304347826;76;13.217391304347824
chekhov-vishnevyi-sad;ChenSkiena;864;338;39.120370370370374;93;10.76388888888889;575;107;18.608695652173914;53;9.217391304347826
chekhov-vishnevyi-sad;ProductSentiRus;864;13;1.5046296296296295;578;66.89814814814815;575;4;0.6956521739130435;332;57.7391304347826
chekhov-jubilej;RuSentiLex;134;39;29.1044776119403;40;29.850746268656714;144;6;4.166666666666666;34;23.61111111111111
chekhov-jubilej;EmoLex;134;50;37.3134328358209;19;14.17910447761194;144;9;6.25;14;9.722222222222223
chekhov-jubilej;LinisCrowd;134;28;20.8955223880597;40;29.850746268656714;144;4;2.7777777777777777;26;18.055555555555554
chekhov-jubilej;ChenSkiena;134;58;43.28358208955223;27;20.149253731343283;144;9;6.25;23;15.972222222222221
chekhov-jubilej;ProductSentiRus;134;6;4.477611940298507;106;79.1044776119403;144;1;0.6944444444444444;66;45.83333333333333
shakhovskoy-ne-lubo-ne-slushai;RuSentiLex;1212;150;12.376237623762377;199;16.419141914191417;80;0;0.0;7;8.75
shakhovskoy-ne-lubo-ne-slushai;EmoLex;1212;295;24.33993399339934;88;7.2607260726072615;80;6;7.5;2;2.5
shakhovskoy-ne-lubo-ne-slushai;LinisCrowd;1212;137;11.303630363036303;177;14.603960396039604;80;2;2.5;6;7.5
shakhovskoy-ne-lubo-ne-slushai;ChenSkiena;1212;340;28.052805280528055;143;11.798679867986799;80;3;3.75;13;16.25
shakhovskoy-ne-lubo-ne-slushai;ProductSentiRus;1212;20;1.65016501650165;654;53.960396039603964;80;0;0.0;28;35.0
shakhovskoy-pustodomy;RuSentiLex;2534;292;11.523283346487766;387;15.272296764009472;305;8;2.622950819672131;21;6.885245901639345
shakhovskoy-pustodomy;EmoLex;2534;620;24.467245461720598;201;7.932123125493291;305;37;12.131147540983607;20;6.557377049180328
shakhovskoy-pustodomy;LinisCrowd;2534;221;8.721389108129438;304;11.996842936069456;305;12;3.934426229508197;32;10.491803278688524
shakhovskoy-pustodomy;ChenSkiena;2534;677;26.716653512233624;308;12.154696132596685;305;23;7.540983606557377;64;20.983606557377048
shakhovskoy-pustodomy;ProductSentiRus;2534;55;2.1704814522494082;1323;52.20994475138122;305;0;0.0;113;37.049180327868854
shakhovskoy-svoya-semya;RuSentiLex;1728;285;16.493055555555554;255;14.756944444444445;191;19;9.947643979057592;5;2.6178010471204187
shakhovskoy-svoya-semya;EmoLex;1728;530;30.671296296296298;131;7.581018518518519;191;13;6.806282722513089;4;2.094240837696335
shakhovskoy-svoya-semya;LinisCrowd;1728;237;13.715277777777779;229;13.252314814814813;191;22;11.518324607329843;8;4.18848167539267
shakhovskoy-svoya-semya;ChenSkiena;1728;549;31.770833333333332;187;10.82175925925926;191;25;13.089005235602095;31;16.230366492146597
shakhovskoy-svoya-semya;ProductSentiRus;1728;55;3.1828703703703707;932;53.93518518518518;191;1;0.5235602094240838;65;34.031413612565444
shakhovskoy-urok-koketkam;RuSentiLex;2739;552;20.153340635268346;483;17.634173055859804;489;14;2.8629856850715747;42;8.588957055214724
shakhovskoy-urok-koketkam;EmoLex;2739;882;32.20153340635268;304;11.098941219423148;489;69;14.11042944785276;31;6.339468302658487
shakhovskoy-urok-koketkam;LinisCrowd;2739;390;14.238773274917854;393;14.348302300109527;489;31;6.339468302658487;68;13.905930470347649
shakhovskoy-urok-koketkam;ChenSkiena;2739;853;31.14275282949982;389;14.202263599853962;489;51;10.429447852760736;101;20.654396728016362
shakhovskoy-urok-koketkam;ProductSentiRus;2739;97;3.5414384811975177;1510;55.12960934647681;489;0;0.0;163;33.33333333333333
